what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815822624
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815824855
started,bundle,org.eclipse.wb.os,1.5.0.r37x201206111201,"org.eclipse.wb.os",1372815825949
started,bundle,org.eclipse.wb.os.win32,1.5.0.r37x201206111201,"org.eclipse.wb.os.win32",1372815826019
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1372815826650
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815832991
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815846546
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1372815849197
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1372815850828
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815854201
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815856341
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815857382
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815858622
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1372815861073
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815863730
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815864741
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815873557
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815874197
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815874197
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815874949
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372816047281
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372816091184
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1372816092476
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372816125856
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372816134202
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1372816136327
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372816140401
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372816153085
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372816154615
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372816217340
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372816217349
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372816217370
