what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372822596165
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372822642343
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372822678106
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372822680925
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372822691668
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372822692634
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372822693150
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372822694490
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372822695180
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372822698042
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1372822717011
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1372822719452
started,bundle,org.eclipse.wb.os,1.5.0.r37x201206111201,"org.eclipse.wb.os",1372822759571
started,bundle,org.eclipse.wb.os.win32,1.5.0.r37x201206111201,"org.eclipse.wb.os.win32",1372822759658
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372822778064
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372822791862
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372822793049
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372822793789
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372822795116
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372822827187
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372822829337
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372823046837
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372823047466
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372823509382
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1372823580785
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1372823585546
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372823595443
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372823596830
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372823607987
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372823609898
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372823638200
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372823640326
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1372823647979
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1372823648143
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1372823648289
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1372823648420
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1372823648562
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1372823648730
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1372823681356
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1372823686854
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1372823701944
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1372823719515
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1372823721625
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1372823722126
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1372823722437
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1372823723382
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1372823727310
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372823736823
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372823738299
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1372823739802
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1372823758857
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1372823762965
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1372823765496
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372823769563
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372823771048
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372823772343
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372823774263
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1372823777747
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372823780485
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372823781996
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372823787696
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372824372327
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372824395728
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372824400123
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372824401211
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372824409545
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372824658211
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372824660458
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1372824700147
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372824729733
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372824734023
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372824741601
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372824743036
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372824744098
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372824745742
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372824811562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372824822565
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372824826932
