what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363865912080
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363865913675
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363865918951
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363865920195
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363865921527
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363865921882
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363865923205
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363865923459
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363865938413
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363865956392
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363865959609
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363865960376
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363866236410
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363866237008
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363866261570
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363866369807
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363866370445
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363866371032
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363866558667
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363866616063
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363866628001
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363866688733
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363866754636
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363866813645
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363866823476
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363866849917
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363866850793
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363866852697
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363866884918
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363866953180
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363866963717
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1363866976256
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1363866981521
